# BUSCO version is: 5.7.1 
# The lineage dataset is: aves_odb10 (Creation date: 2024-01-08, number of genomes: 62, number of BUSCOs: 8338)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
744at8782	Complete	scaffold86	244524	138868	-	4029.3	1932	https://v10-1.orthodb.org/?query=744at8782	JmjC domain
747at8782	Complete	scaffold34	3695141	3566364	-	4068.0	1847	https://v10-1.orthodb.org/?query=747at8782	Phosphoinositide-specific phospholipase C, EF-hand-like domain
750at8782	Complete	scaffold135	578231	537868	-	4043.4	1939	https://v10-1.orthodb.org/?query=750at8782	Dopey, N-terminal
753at8782	Complete	scaffold234	761814	800017	+	3939.3	1983	https://v10-1.orthodb.org/?query=753at8782	kinetochore-associated protein 1
760at8782	Complete	scaffold731	210909	228770	+	4008.7	1845	https://v10-1.orthodb.org/?query=760at8782	FMP27, GFWDK domain
775at8782	Complete	scaffold2	4829146	4775771	-	3734.2	1873	https://v10-1.orthodb.org/?query=775at8782	FRAS1-related extracellular matrix protein 1
781at8782	Complete	scaffold57	1489213	1752059	+	3616.7	1870	https://v10-1.orthodb.org/?query=781at8782	MAM domain
785at8782	Complete	scaffold1	15624370	15589828	-	4180.9	2113	https://v10-1.orthodb.org/?query=785at8782	Laminin G domain
796at8782	Complete	scaffold196	66110	47660	-	2927.0	1609	https://v10-1.orthodb.org/?query=796at8782	Multicopper oxidase, type 2
800at8782	Complete	scaffold597	48218	87378	+	4134.4	1857	https://v10-1.orthodb.org/?query=800at8782	Plexin, TIG domain 1
801at8782	Complete	scaffold208	1439008	1503273	+	3867.6	1994	https://v10-1.orthodb.org/?query=801at8782	Protein kinase domain
802at8782	Complete	scaffold773	45014	34280	-	2416.1	1211	https://v10-1.orthodb.org/?query=802at8782	Laminin G domain
805at8782	Complete	scaffold654	7436	41352	+	3725.3	1630	https://v10-1.orthodb.org/?query=805at8782	Fibronectin type III
816at8782	Complete	scaffold307	363448	458922	+	3647.1	1675	https://v10-1.orthodb.org/?query=816at8782	Mediator complex subunit Med13, C-terminal
821at8782	Complete	scaffold123	1192271	1407914	+	3723.8	1858	https://v10-1.orthodb.org/?query=821at8782	A-kinase anchor protein 6
825at8782	Complete	scaffold42	5699208	5813223	+	4009.2	1847	https://v10-1.orthodb.org/?query=825at8782	PLAT/LH2 domain
832at8782	Complete	scaffold64	1666692	1765281	+	3855.9	1886	https://v10-1.orthodb.org/?query=832at8782	Fibronectin type III
841at8782	Complete	scaffold493	78333	100277	+	4165.8	2058	https://v10-1.orthodb.org/?query=841at8782	Sec16, central conserved domain
842at8782	Complete	scaffold56	3469034	3434136	-	3626.8	2339	https://v10-1.orthodb.org/?query=842at8782	Centromere protein Cenp-F, leucine-rich repeat-containing domain
844at8782	Complete	scaffold138	27264	13135	-	2324.2	1296	https://v10-1.orthodb.org/?query=844at8782	Zinc finger C2H2-type
845at8782	Complete	scaffold55	3707963	3754847	+	3641.2	1844	https://v10-1.orthodb.org/?query=845at8782	nucleolar pre-ribosomal-associated protein 1
846at8782	Complete	scaffold633	348230	285264	-	3946.9	2053	https://v10-1.orthodb.org/?query=846at8782	Helicase/UvrB, N-terminal
856at8782	Fragmented	scaffold1435	12380	1438	-	1312.6	929	https://v10-1.orthodb.org/?query=856at8782	Protein phosphatase 1 binding domain
862at8782	Complete	scaffold420	616144	521391	-	4173.3	1959	https://v10-1.orthodb.org/?query=862at8782	Pecanex, C-terminal
878at8782	Complete	scaffold114	526048	499323	-	3828.1	1727	https://v10-1.orthodb.org/?query=878at8782	Mediator complex subunit Med13, C-terminal
883at8782	Complete	scaffold18	2025949	2079726	+	4812.5	2429	https://v10-1.orthodb.org/?query=883at8782	WHIM2 domain
902at8782	Complete	scaffold15	3380780	3436959	+	3824.5	1716	https://v10-1.orthodb.org/?query=902at8782	FYVE zinc finger
907at8782	Complete	scaffold27	4080605	4163100	+	3772.3	1720	https://v10-1.orthodb.org/?query=907at8782	Small GTPase
909at8782	Complete	scaffold184	46085	38357	-	4171.3	2095	https://v10-1.orthodb.org/?query=909at8782	Actin-binding, Xin repeat
910at8782	Complete	scaffold143	97181	156311	+	4170.6	1829	https://v10-1.orthodb.org/?query=910at8782	Phosphatidylinositol 3-/4-kinase, catalytic domain
911at8782	Complete	scaffold80	1607321	1662728	+	4097.0	1850	https://v10-1.orthodb.org/?query=911at8782	Sec7, C-terminal
931at8782	Complete	scaffold410	397848	307598	-	3678.4	2153	https://v10-1.orthodb.org/?query=931at8782	Beta/gamma crystallin
938at8782	Complete	scaffold95	2668405	2564013	-	3914.8	1774	https://v10-1.orthodb.org/?query=938at8782	calcineurin-binding protein cabin-1
940at8782	Complete	scaffold209	289660	222617	-	3427.4	1703	https://v10-1.orthodb.org/?query=940at8782	structural maintenance of chromosomes flexible hinge domain-containing protein 1
964at8782	Complete	scaffold265	288777	248324	-	3309.6	1442	https://v10-1.orthodb.org/?query=964at8782	EGF-like, conserved site
968at8782	Complete	scaffold391	745339	780480	+	3721.9	1773	https://v10-1.orthodb.org/?query=968at8782	Myosin head, motor domain
983at8782	Complete	scaffold51	654500	670306	+	3248.1	1506	https://v10-1.orthodb.org/?query=983at8782	lactase-phlorizin hydrolase
985at8782	Complete	scaffold1	8224605	8089892	-	4263.0	2228	https://v10-1.orthodb.org/?query=985at8782	PDZ domain
990at8782	Complete	scaffold86	1844328	1900315	+	2645.0	1313	https://v10-1.orthodb.org/?query=990at8782	methylcytosine dioxygenase TET1
995at8782	Complete	scaffold549	68140	18672	-	3875.9	1784	https://v10-1.orthodb.org/?query=995at8782	Nucleoporin Nup186/Nup192/Nup205
1014at8782	Complete	scaffold413	412783	371057	-	3448.2	1667	https://v10-1.orthodb.org/?query=1014at8782	general transcription factor 3C polypeptide 1
1018at8782	Complete	scaffold119	2074321	2114487	+	3869.7	1815	https://v10-1.orthodb.org/?query=1018at8782	Autophagy-related, C-terminal
1027at8782	Complete	scaffold4	751106	857441	+	3249.6	1657	https://v10-1.orthodb.org/?query=1027at8782	Protein ASX-like, PHD domain
1037at8782	Complete	scaffold229	996171	955021	-	2815.6	1346	https://v10-1.orthodb.org/?query=1037at8782	Zinc finger C2H2-type
1053at8782	Complete	scaffold34	1599850	1561626	-	1583.2	783	https://v10-1.orthodb.org/?query=1053at8782	PDZ domain
1086at8782	Complete	scaffold73	80077	40664	-	3653.3	1808	https://v10-1.orthodb.org/?query=1086at8782	HEAT repeat-containing protein 1
1094at8782	Complete	scaffold95	935264	897689	-	3052.3	1300	https://v10-1.orthodb.org/?query=1094at8782	citron Rho-interacting kinase isoform X1
1096at8782	Complete	scaffold759	204588	188679	-	3820.0	1836	https://v10-1.orthodb.org/?query=1096at8782	Myc-type, basic helix-loop-helix (bHLH) domain
1098at8782	Complete	scaffold1	4478967	4416754	-	3676.6	2141	https://v10-1.orthodb.org/?query=1098at8782	centrosomal protein of 192 kDa
1107at8782	Complete	scaffold328	1180312	1148635	-	3027.0	1544	https://v10-1.orthodb.org/?query=1107at8782	Coagulation factor 5/8 C-terminal domain
1137at8782	Complete	scaffold38	2155349	2104505	-	3893.5	2161	https://v10-1.orthodb.org/?query=1137at8782	centrosomal protein of 290 kDa
1148at8782	Complete	scaffold832	49407	23610	-	2703.5	1427	https://v10-1.orthodb.org/?query=1148at8782	SET domain
1151at8782	Complete	scaffold59	2403648	2306321	-	3407.5	1586	https://v10-1.orthodb.org/?query=1151at8782	Anaphase-promoting complex subunit 1
1156at8782	Complete	scaffold391	714078	668411	-	3267.8	1469	https://v10-1.orthodb.org/?query=1156at8782	Alpha-2-macroglobulin
1160at8782	Complete	scaffold44	1172793	1147624	-	2778.6	1699	https://v10-1.orthodb.org/?query=1160at8782	Zinc finger, GRF-type
1163at8782	Missing
1166at8782	Complete	scaffold117	1895480	1857173	-	3667.5	1729	https://v10-1.orthodb.org/?query=1166at8782	Cytoskeleton-associated protein 5
1172at8782	Complete	scaffold117	1958242	1907482	-	3755.2	1623	https://v10-1.orthodb.org/?query=1172at8782	Low-density lipoprotein (LDL) receptor class A repeat
1177at8782	Complete	scaffold5	235313	358751	+	3827.6	1917	https://v10-1.orthodb.org/?query=1177at8782	Serine/threonine-protein kinase OSR1/WNK, CCT domain
1189at8782	Complete	scaffold393	768923	742884	-	2306.3	1545	https://v10-1.orthodb.org/?query=1189at8782	Kinesin motor domain
1195at8782	Complete	scaffold170	1666166	1606762	-	3503.7	1588	https://v10-1.orthodb.org/?query=1195at8782	Ribonuclease III domain
1208at8782	Complete	scaffold308	390172	418795	+	3514.8	1718	https://v10-1.orthodb.org/?query=1208at8782	BAT2, N-terminal
1213at8782	Complete	scaffold1	5507767	5449383	-	3044.8	1417	https://v10-1.orthodb.org/?query=1213at8782	GREB1
1222at8782	Complete	scaffold431	102349	90378	-	3393.8	1706	https://v10-1.orthodb.org/?query=1222at8782	DNA2/NAM7 helicase, AAA domain
1227at8782	Complete	scaffold197	803373	777869	-	2807.7	1566	https://v10-1.orthodb.org/?query=1227at8782	Apx/Shrm Domain 1
1228at8782	Complete	scaffold230	437381	377856	-	3030.4	1500	https://v10-1.orthodb.org/?query=1228at8782	Zinc finger C2H2-type
1229at8782	Complete	scaffold226	679029	646589	-	3802.2	1640	https://v10-1.orthodb.org/?query=1229at8782	HECT domain
1235at8782	Complete	scaffold18	1887283	1821390	-	3497.5	1643	https://v10-1.orthodb.org/?query=1235at8782	DNA2/NAM7 helicase, AAA domain
1243at8782	Complete	scaffold3	3645122	3595225	-	3484.2	1628	https://v10-1.orthodb.org/?query=1243at8782	PDZ domain
1253at8782	Complete	scaffold41	4478220	4381893	-	3522.3	1590	https://v10-1.orthodb.org/?query=1253at8782	GREB1
1254at8782	Complete	scaffold279	1103349	1056380	-	2990.3	1527	https://v10-1.orthodb.org/?query=1254at8782	Zinc finger C2H2-type
1260at8782	Complete	scaffold467	325436	315195	-	3291.6	1528	https://v10-1.orthodb.org/?query=1260at8782	WD40 repeat
1267at8782	Complete	scaffold924	115778	63024	-	4701.1	2268	https://v10-1.orthodb.org/?query=1267at8782	BAT2, N-terminal
1276at8782	Complete	scaffold285	380431	313695	-	3402.8	1627	https://v10-1.orthodb.org/?query=1276at8782	Integrin beta subunit, tail
1292at8782	Complete	scaffold59	3010046	3193877	+	2933.1	1424	https://v10-1.orthodb.org/?query=1292at8782	Rap GTPase activating protein domain
1306at8782	Complete	scaffold327	539423	497987	-	2723.1	1380	https://v10-1.orthodb.org/?query=1306at8782	Ferlin, C-terminal domain
1322at8782	Complete	scaffold517	309075	329094	+	3305.2	1632	https://v10-1.orthodb.org/?query=1322at8782	methylcytosine dioxygenase TET2
1332at8782	Complete	scaffold449	381765	465535	+	2649.2	1214	https://v10-1.orthodb.org/?query=1332at8782	Plexin, cytoplasmic RasGAP domain
1334at8782	Complete	scaffold116	496672	434196	-	3229.7	1530	https://v10-1.orthodb.org/?query=1334at8782	Zinc finger C2H2-type
1336at8782	Duplicated	scaffold913	131725	53272	-	1723.0	826	https://v10-1.orthodb.org/?query=1336at8782	von Willebrand factor A domain-containing protein 8
1336at8782	Duplicated	scaffold644	86336	855	-	1487.0	700	https://v10-1.orthodb.org/?query=1336at8782	von Willebrand factor A domain-containing protein 8
1338at8782	Complete	scaffold30	3327210	3163087	-	3230.1	1689	https://v10-1.orthodb.org/?query=1338at8782	thyroid adenoma-associated protein
1341at8782	Complete	scaffold53	5645287	5680955	+	3374.1	1512	https://v10-1.orthodb.org/?query=1341at8782	NACHT and WD repeat domain-containing protein 2
1343at8782	Complete	scaffold99	1637400	1577745	-	3218.8	1705	https://v10-1.orthodb.org/?query=1343at8782	Zinc finger, PHD-finger
1353at8782	Complete	scaffold610	153470	177719	+	2648.3	1506	https://v10-1.orthodb.org/?query=1353at8782	telomere-associated protein RIF1
